id	original_title	popularity	fetched	budget	imdb_id	original_language	overview	poster_path	release_date	revenue	runtime	vote_average	vote_count	imdb_vote_average	imdb_vote_count	weighted_rating
2	"Ariel"	8.800	true	0	"tt0094675"	"fi"	"Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned..."	"/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg"	"1988-10-21"	0	73	7.0	219	7.5	7457	93.6
3	"Varjoja paratiisissa"	6.604	true	0	"tt0092149"	"fi"	"An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more."	"/nj01hspawPof0mJmlgfjuLyJuRN.jpg"	"1986-10-17"	0	74	7.3	209	7.5	5920	93.1
5	"Four Rooms"	18.630	true	4000000	"tt0113101"	"en"	"It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another."	"/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg"	"1995-12-09"	4257354	98	5.7	2288	6.7	109279	104.0
6	"Judgment Night"	13.564	true	21000000	"tt0107286"	"en"	"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat and mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama."	"/rYFAvSPlQUCebayLcxyK79yvtvV.jpg"	"1993-10-15"	12136938	109	6.6	275	6.6	18189	93.5
8	"Life in Loops (A Megacities RMX)"	1.993	true	42000	"tt0825671"	"en"	"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006"	"/x7Sz339F2oC8mBf0DHCQpKizXaL.jpg"	"2006-01-01"	0	80	7.7	21	8.1	279	65.0
9	"Sonntag im August"	1.188	true	0	"tt0425473"	"de"	""	(null)	"2004-09-02"	0	15	7.4	14	6.7	13	33.5
11	"Star Wars"	84.791	true	11000000	"tt0076759"	"en"	"Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire."	"/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg"	"1977-05-25"	775398007	121	8.2	18175	8.6	1419283	171.8
12	"Finding Nemo"	90.599	true	94000000	"tt0266543"	"en"	"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way."	"/7DPFmp0q5RC1p582SdIuZ4KBF2.jpg"	"2003-05-30"	940335536	100	7.8	17276	8.2	1088021	160.6
13	"Forrest Gump"	66.332	true	55000000	"tt0109830"	"en"	"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him."	"/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg"	"1994-06-23"	677387716	142	8.5	24011	8.8	2190346	182.3
14	"American Beauty"	28.416	true	15000000	"tt0169547"	"en"	"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend."	"/wby9315QzVKdW9BonAefg8jGTTb.jpg"	"1999-09-15"	356296601	122	8.0	10762	8.3	1189996	164.6
